original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
"The research team published their findings after months of careful experimentation. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.","They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor. The research team published their findings after months of careful experimentation.",sentence_reorder,0.226,True
"The research team published their findings after months of careful experimentation. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.","The research team published our findings after months of careful experimentation. them described how the new polymer responded to heat and pressure, and them included detailed diagrams to support our conclusions. The reviewers praised the methodology for its clarity and scientific rigor.",paragraph_pronoun_change,0.307,True
"The research team published their findings after months of careful experimentation. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.","The research team shared their research results after months of methodical testing. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.",phrase_level_rewrite,0.089,True
"The research team published their findings after months of careful experimentation. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.","The research team published their findings after months of careful experimentation. The team described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.",human_like_rewrite,0.99,True
"The research team published their findings after months of careful experimentation. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.","The research team published their findings after months of careful experimentation. They described how the new polymer responded to heat and pressure, and they included detailed diagrams to support their conclusions. The reviewers praised the methodology for its clarity and scientific rigor.",formal_rewrite,1.0,True
"Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.","The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads. Our marketing department launched a new campaign across social media platforms last week.",sentence_reorder,0.287,True
"Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.","their marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.",paragraph_pronoun_change,0.99,True
"Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.","Our promotion team launched a new campaign across social media platforms last week. The ads focus on client feedback and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.",phrase_level_rewrite,0.888,True
"Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.","Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.",human_like_rewrite,1.0,True
"Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. Within days, the client reported an increase in website traffic and qualified leads.","Our marketing department launched a new campaign across social media platforms last week. The ads focus on customer testimonials and product benefits, while the content team monitors engagement and adjusts the strategy daily. shortly thereafter, the client noted an increase in website traffic and qualified leads.",formal_rewrite,0.84,True
"The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.","Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay. The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants.",sentence_reorder,0.625,True
"The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.","The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.",paragraph_pronoun_change,1.0,True
"The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.","The property manager greeted each guest with a warm welcome and offered tailored suggestions for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.",phrase_level_rewrite,0.735,True
